Inflow Group,OMR Bin,NAA,Alt5
lolo,-2000,27,40
lolo,-3500,18,19
lolo,-5000,22,28
lolo,<-5500,10,5
lolo,NA,55,40
lomed,-2000,25,14
lomed,-3500,9,8
lomed,-5000,12,10
lomed,<-5500,0,0
lomed,NA,24,37
lohi,-2000,10,0
lohi,-3500,3,8
lohi,-5000,3,4
lohi,<-5500,0,0
lohi,NA,15,11
medlo,-2000,1,0
medlo,-3500,11,6
medlo,-5000,45,34
medlo,<-5500,10,11
medlo,NA,14,11
medmed,-2000,26,18
medmed,-3500,25,24
medmed,-5000,20,37
medmed,<-5500,5,3
medmed,NA,25,29
medhi,-2000,11,4
medhi,-3500,8,16
medhi,-5000,1,15
medhi,<-5500,1,0
medhi,NA,30,23
hilo,-2000,0,0
hilo,-3500,2,4
hilo,-5000,10,15
hilo,<-5500,1,0
hilo,NA,7,0
himed,-2000,4,4
himed,-3500,12,14
himed,-5000,24,44
himed,<-5500,3,0
himed,NA,19,8
hihi,-2000,16,7
hihi,-3500,26,16
hihi,-5000,34,69
hihi,<-5500,5,0
hihi,NA,71,62
NA,-2000,0,1
NA,-3500,0,0
NA,-5000,0,0
NA,<-5500,0,0
NA,NA,0,1
